group1,group2,t_statistic,p_value,p_adjusted,significant
anthropic,google,-0.33756882916199776,0.736249855292292,0.9687453911997944,False
anthropic,meta,0.2662797659928466,0.7904590134967256,0.9687453911997944,False
anthropic,neutral,-0.6917997159427139,0.4903424281947262,0.9687453911997944,False
anthropic,none,-0.6003039106433504,0.5493819247877454,0.9687453911997944,False
anthropic,openai,-0.6572358181264718,0.512231701307902,0.9687453911997944,False
google,meta,0.6035583793568138,0.5472223330143393,0.9687453911997944,False
google,neutral,-0.3671006336163475,0.7141630733494002,0.9687453911997944,False
google,none,-0.26412826095450753,0.7921126325235768,0.9687453911997944,False
google,openai,-0.3296459271128127,0.7422166595223868,0.9687453911997944,False
meta,neutral,-0.9474219256767304,0.3452458087914897,0.9687453911997944,False
meta,none,-0.8649773827625339,0.38869505365100454,0.9687453911997944,False
meta,openai,-0.9151468423738545,0.36186733763194723,0.9687453911997944,False
neutral,none,0.11158545769574191,0.9113304456377183,0.9687453911997944,False
neutral,openai,0.039259825621451895,0.9687453911997944,0.9687453911997944,False
none,openai,-0.07200077644626038,0.9427157381438506,0.9687453911997944,False
